352020;214826702,214821277
420355;214829735
140850;214826803,214821285
70;214712272,214827022,214820252
281680;214560613
281675;214819547,214602600
281670;214684093
90;214684513
489850;214821292
210330;214820398
70545;214821371,214674772
489910;214569716,214546102
210355;214509000
210395;214827022,214827022
141025;214717095
230;214821020
281855;214826955,214826955,214826627,214826627
352250;214832657
352255;214821011
420590;214539845
281825;214596077
352230;214835812,214819685,214836210
275;214551911
70150;214746365,214826816,214826608
351765;214545575
141115;214820233,214820261
141150;214551371
70235;214551909
351810;214748295
281925;214826816,214587560
281920;214705991
489565;214594678
281940;214826606,214800270
330;214826835,214826955
420705;214821367,214819357,214821367,214819357
281965;214826818
210030;214832557,214706441
210065;214826801,214826700
282020;214587697,214536197,214811758,214536197,214819430,214819520,214748336,214811741,214791684,214725532,214791682
420775;214539845,214539845
70325;214821277
141240;214553700
141265;214717097
210135;214716977,214716984,214717007
420815;214819760,214820400,214819762,214819721
489675;214510854,214702809
470;214512416
70345;214811752,214819496,214836052
210165;214716982,214819468
141305;214819562,214821015,214718220
351985;214834925
489720;214587437,214536414
351520;214821277
69950;214664919,214826625,214826700,214821298
282140;214820842,214839995,214821305,214839313,214839313,214820842,214839995,214821305
419865;214748295,214753507
210695;214587898
140290;214711642,214565522,214542403
140315;214835405
419855;214512425
490355;214832557,214587384,214819547
140360;214821292
282205;214554785,214636505
490325;214748291,214753507,214826955,214840483,214556861,214573258
419935;214601040,214601042
282185;214551926,214844100
351560;214644650,214710159,214558783
282280;214612785
70025;214718210
490395;214820405,214820405
750;214832437,214526083
705;214704182
140600;214819376,214820345,214718385,214826627,214580297
69680;214716930
282415;214826934,214820396,214717562,214748336,214826625,214744775,214832557
420140;214609442
69675;214829285,214821275
351280;214717003,214716930
69650;214696434
420100;214536440
282370;214582387
780;214832557
140545;214596120
885;214839313
420205;214836761
490095;214536440
420210;214826803,214821285,214718396
69740;214535621
490050;214587307,214587307
351310;214839313,214839313
855;214748293,214748295,214753513,214744779,214711657
140730;214826627
420285;214706460
351415;214821298,214532072
282500;214601040
420250;214703795
140790;214829282
420340;214819490
69860;214842292
282620;214707902
990;214613893
420290;214769117,214827007,214834865
980;214587307
420310;214819468
69825;214539845
421450;214819419
490820;214716935
71430;214705635
1025;214820415
1050;214716932
280625;214821277
490805;214838503
139830;214712237,214706428,214706428,214826627
421590;214684093
71625;214540175,214718379,214826715
351190;214839656
1240;214712537
421620;214840412
140030;214839313
139915;214716710
421535;214677305
71575;214717003,214717003,214716973,214716937
1170;214821279
280705;214820387,214819775,214567065
351165;214839313
71590;214842575
209325;214834865,214827026,214837485,214827007,214827000,214827005
421560;214696434
490925;214587317,214640017,214820201,214744530
490590;214550548
280930;214601233,214820345
350830;214840483
208995;214682289
140135;214717824
280840;214612920,214533022,214551624,214821309
208905;214680371
1280;214820261
1335;214826705,214826705
350920;214572234
350925;214684046,214821392,214820387
421835;214512431
140245;214838503
209095;214826801,214826715,214820400
1480;214587611,214826810,214587566
140285;214535621,214826801
140265;214687895
209135;214839313
209125;214716982
140190;214840768,214843432,214843455,214843901
350860;214509084
71325;214826705,214826608
280965;214553604
490650;214567050
490670;214826608,214826801,214709634
1440;214701742
209765;214826705,214826608
491370;214716930
281185;214581489,214826715
71005;214832655
139350;214691336,214691381,214691379,214840877,214691357
420930;214821367
139355;214691557,214691563
491300;214748300,214753513
209675;214836137
71165;214515842
281310;214840573
281300;214838218,214821392,214820456
139480;214716973,214743350,214827035
491450;214826612,214826621,214826617,214826615,214826619,214821300,214819374,214600492
71090;214821285
1725;214534241,214534241
350600;214829737,214718216
350310;214685857,214826621
350305;214826816,214826608
421220;214534704
1905;214748293
1895;214826705,214826608,214826810
491090;214601197
209470;214826801,214821290
350260;214826835,214827030
281350;214602600
350210;214839313
281365;214601040
281375;214826955,214826625
70660;214712803,214826700
421345;214579288
350460;214718274
281595;214821028,214602804,214819472,214832559,214537175
350415;214821277,214688098,214551834
421325;214832655,214832655
421330;214829312
209600;214753507,214708027,214708016
491230;214839313
421280;214714880
70835;214509911,214602491,214573001,214602485,214507802,214602480,214571143,214652977,214839652
139710;214821020
491185;214821020,214821022,214718160,214826623
1965;214694336,214554296
70825;214820201
491195;214716977,214716977,214716977
70830;214709735
421270;214701307
1930;214601040
350085;214716984
212355;214826955,214826627
279705;214688098,214827020,214821272,214821298
418455;214517880
2180;214516738
143030;214701307
143015;214843410,214843410
212385;214826606,214826606,214821277
72610;214607077
279750;214612738,214821339
212435;214821290,214821277,214821292
72660;214826612,214821032,214821397,214821392
350165;214821290,214821292
418515;214587898,214567115
2240;214828987
418530;214819640,214553587,214649951,214819640,214649951,214553587
350190;214819779
418310;214716973
349965;214564687
418365;214701242
279600;214718203,214692697
350020;214821296,214819547,214821277,214821296,214819547,214821277,214821277,214821277
350040;214601040
279640;214826816,214826608
418390;214827022
487795;214536440
143255;214821277,214821290
2450;214829312
487555;214819430,214725532
279995;214601042,214601040,214576545
212140;214821277,214826702,214821298
2485;214821272,214827020,214838857
212160;214829285
418755;214826872
418810;214716930
2315;214645181
279825;214826617,214826619,214746450
418585;214839313
211975;214709822
279820;214550548,214550548
72230;214717877,214826799,214821015,214555262,214821017,214717877,214821015,214555262,214826799,214821017
143145;214705991,214668795,214705991,214668795
487480;214512611,214744535
349745;214509830
349740;214701307
418595;214748297,214753513,214753507,214748300
2375;214534704
487510;214819357,214820192
279895;214820233,214821290,214612667
2390;214821277,214826801
212060;214512262
279885;214717528,214535621,214821285,214717528,214535621,214821285
349760;214512431
279875;214832730
143210;214509152
2425;214840762,214840762,214840762
488360;214613865
280245;214821279
72110;214820413,214821290,214821277,214585395,214826801
349575;214844152,214844152
142490;214820392,214640017,214819376
2705;214842605,214840944,214842605,214840944
72075;214826835,214557206,214826893,214826955,214709634
488345;214832552,214819781,214698446
488340;214532070,214827007,214827005,214834865,214827000
2805;214607143,214640424,214607141
212965;214716932,214716932
488395;214748302
488385;214687985
417985;214821277
418010;214835760
280280;214826705
349660;214821373
212795;214819376
280125;214738445
349490;214691467
349450;214821290
2565;214664919,214691426
280085;214730518,214737337
488290;214821277
417900;214698592
2680;214748295,214753513,214753507,214748297
2685;214820261
417910;214820405
212820;214716941
212800;214820255,214702824
2635;214652220,214602377
280150;214826606,214819395,214819530
488120;214691293,214826625
71840;214586711
280470;214601040
280465;214601197
142750;214594678
418180;214716980
349425;214826955,214826606
349415;214718396,214718398,214711310,214711438
212735;214532072
418265;214585100
212680;214717815
349405;214819610
212685;214827020,214821272
488150;214716930,214716930
3025;214717003
418110;214826705,214829285
2875;214556822,214551892,214551898,214551892,214551898,214556822
